repository,tag,package_count,total_matches,critical_count,high_count,medium_count,low_count,negligible_count
docker.io/bitnamilegacy/minio,2025.7.23-debian-12-r3,466,737,63,259,248,19,110
docker.io/grafana/grafana,12.3.1,604,399,41,166,154,16,0
rancher/mirrored-library-traefik,3.6.13,371,162,20,79,52,8,0
zot.lab.localhost:8080/lab/sbom-jobs,0.1.0,701,307,19,104,71,10,79
docker.io/bitnamilegacy/minio-object-browser,2.0.2-debian-12-r3,126,87,9,38,36,2,0
rancher/mirrored-metrics-server,v0.8.1,101,73,9,34,27,2,0
zot.lab.localhost:8080/lab/runtime-inventory,0.1.0,119,187,7,61,56,10,45
rancher/mirrored-coredns-coredns,1.14.3,190,57,7,29,18,1,0
rancher/local-path-provisioner,v0.0.36,94,223,6,143,68,5,0
traefik/whoami,v1.10,3,53,2,24,25,2,0
docker.io/library/busybox,1.31.1,1,16,1,10,3,2,0
ghcr.io/project-zot/zot,v2.1.21,477,21,1,4,3,1,7
reg.kyverno.io/kyverno/kyvernopre,v1.19.0,338,16,0,12,2,0,0
reg.kyverno.io/kyverno/background-controller,v1.19.0,338,16,0,12,2,0,0
reg.kyverno.io/kyverno/kyverno,v1.19.0,341,16,0,12,2,0,0
reg.kyverno.io/kyverno/cleanup-controller,v1.19.0,339,16,0,12,2,0,0
reg.kyverno.io/kyverno/reports-controller,v1.19.0,338,16,0,12,2,0,0
registry-1.docker.io/bitnami/postgresql,latest,130,2,0,1,1,0,0
rancher/klipper-lb,v0.4.17,22,2,0,0,2,0,0
